#
#
# US Geological Survey
# retrieved: 2014-03-25 11:00:06 EDT
# URL: http://nwis.waterdata.usgs.gov/nwis/dv
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#
#
# query started 2014-03-25 11:00:06 EDT
#
# there are 43 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd
USGS	414843088042500	MORTON ARBORETUM NEAR LISLE, IL	41.81197427	-88.07367670	S	NAD83
USGS	414903088101701	RAIN GAGE AT WB DUPAGE RIVER AT WARRENVILLE, IL	41.81750000	-88.17138889	S	NAD83
USGS	415037087581700	OAK BROOK WELL AT OAK BROOK, IL	41.84364130	-87.97145219	S	NAD83
USGS	415037088110600	BLACKWELL FOREST PRESERVE NEAR WARRENVILLE, IL	41.84364000	-88.18507000	S	NAD83
USGS	415125088045700	WHEATON SEWER DEPARTMENT AT WHEATON, IL	41.85697380	-88.08256720	S	NAD83
USGS	415131088143600	NATIONAL ACCELERATOR LAB NR WEST CHICAGO, IL	41.85863957	-88.24340550	S	NAD83
USGS	415300088054600	WHEATON WATER DEPARTMENT AT WHEATON, IL	41.88336240	-88.09617960	S	NAD83
USGS	415356087575000	ELMHURST QUARRY AT ELMHURST, IL	41.89891870	-87.96395370	S	NAD83
USGS	415423088081500	CAROL STREAM WWTF AT CAROL STREAM, IL	41.90641750	-88.13757040	S	NAD83
USGS	415457088150600	DUPAGE COUNTY AIRPORT NEAR ST CHARLES IL	41.91586120	-88.25174080	S	NAD83
USGS	415518087583000	ADDISON WWTF AT ADDISON, IL	41.92169620	-87.97506590	S	NAD83
USGS	415651088051900	BLOOMINGDALE LIFT STATION AT BLOOMINGDALE, IL	41.94752856	-88.08868130	S	NAD83
USGS	415737088031100	SPRING CREEK RESERVOIR NEAR BLOOMINGDALE, IL	41.96030640	-88.05312510	S	NAD83
USGS	415755087525300	OHARE AIRPORT AT CHICAGO, IL	41.96530796	-87.88145270	S	NAD83
USGS	415801088095700	BARTLETT WWTF NEAR BARTLETT, IL	41.96697238	-88.16590640	S	NAD83
USGS	415817087591901	RAIN GAGE AT WOOD DALE, IL	41.97138889	-87.98861110	S	NAD83
USGS	420052088034200	SCHAUMBURG PUBLIC WORKS AT SCHAUMBURG, IL	42.01447240	-88.06173810	S	NAD83
USGS	420057088001700	BUSSE WOODS NEAR ELK GROVE VILLAGE, IL	42.01586160	-88.00479200	S	NAD83
USGS	420354088170500	ELGIN WATER TREATMENT FACILITY AT ELGIN, IL	42.06502607	-88.28480160	S	NAD83
USGS	420453088043200	RAIN GAGE AT HARPER COLLEGE AT PALATINE, IL	42.08138889	-88.07555560	S	NAD83
USGS	420745088025901	RAIN GAGE AT SUNDLING JR HS AT PALATINE, IL	42.12916667	-88.04972220	S	NAD83
